Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.001515,1.791399,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,8]]","[7, 0, 0, 8]","(2, 2)",3
2,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.001515,1.951726,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
3,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.068362,1.467415,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.948980,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",1
4,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.069372,1.634532,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.918367,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",3
5,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.069877,1.743440,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.867347,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",4
6,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.136219,1.493136,0.857143,0.142857,0.714286,0.714286,1.000000,1.000000,0.833333,0.745356,0.806122,"[[7,0],
 [2,5]]","[7, 0, 2, 5]","(2, 2)",1
7,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.069877,1.732859,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.948980,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",4
8,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.137734,1.876089,0.857143,0.142857,0.714286,0.714286,1.000000,1.000000,0.833333,0.745356,0.836735,"[[7,0],
 [2,5]]","[7, 0, 2, 5]","(2, 2)",4
9,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.204582,1.880356,0.785714,0.214286,1.000000,1.000000,0.571429,0.700000,0.823529,0.632456,0.734694,"[[4,3],
 [0,7]]","[4, 3, 0, 7]","(2, 2)",2
10,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.001515,1.585385,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[6,0],
 [0,8]]","[6, 0, 0, 8]","(2, 2)",3
