Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.064848,1.704060,0.866667,0.133333,0.750000,0.750000,1.000000,1.000000,0.857143,0.763763,0.875000,"[[7,0],
 [2,6]]","[7, 0, 2, 6]","(2, 2)",3
2,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.136724,1.748130,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.785714,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",2
3,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.002525,2.205569,0.857143,0.142857,1.000000,1.000000,0.714286,0.777778,0.875000,0.745356,0.857143,"[[5,2],
 [0,7]]","[5, 2, 0, 7]","(2, 2)",5
4,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.002525,1.821528,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",5
5,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.003030,1.827564,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.928571,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",6
6,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.001010,1.587146,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.928571,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
7,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.068867,1.625586,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.928571,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
8,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.002020,1.914938,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
9,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.069372,1.778957,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.928571,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
10,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.068867,1.702465,0.928571,0.071429,1.000000,1.000000,0.833333,0.888889,0.941176,0.860663,0.916667,"[[5,1],
 [0,8]]","[5, 1, 0, 8]","(2, 2)",2
