Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000022,0.533333,0.466667,0.750000,0.750000,0.285714,0.545455,0.631579,0.040291,0.750000,"[[2,5],
 [2,6]]","[2, 5, 2, 6]","(2, 2)",99
2,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000024,0.785714,0.214286,0.571429,0.571429,1.000000,1.000000,0.727273,0.632456,0.877551,"[[7,0],
 [3,4]]","[7, 0, 3, 4]","(2, 2)",99
3,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000044,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.816327,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",99
4,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000023,0.571429,0.428571,0.714286,0.714286,0.428571,0.555556,0.625000,0.149071,0.775510,"[[3,4],
 [2,5]]","[3, 4, 2, 5]","(2, 2)",99
5,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000019,0.714286,0.285714,0.714286,0.714286,0.714286,0.714286,0.714286,0.428571,0.775510,"[[5,2],
 [2,5]]","[5, 2, 2, 5]","(2, 2)",99
6,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000021,0.571429,0.428571,0.428571,0.428571,0.714286,0.600000,0.500000,0.149071,0.632653,"[[5,2],
 [4,3]]","[5, 2, 4, 3]","(2, 2)",99
7,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000031,0.785714,0.214286,0.857143,0.857143,0.714286,0.750000,0.800000,0.577350,0.795918,"[[5,2],
 [1,6]]","[5, 2, 1, 6]","(2, 2)",99
8,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000031,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.857143,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",99
9,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000034,0.642857,0.357143,0.714286,0.714286,0.571429,0.625000,0.666667,0.288675,0.734694,"[[4,3],
 [2,5]]","[4, 3, 2, 5]","(2, 2)",99
10,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000020,0.785714,0.214286,0.750000,0.750000,0.833333,0.857143,0.800000,0.577350,0.812500,"[[5,1],
 [2,6]]","[5, 1, 2, 6]","(2, 2)",99
