Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.129697,112.882637,0.800000,0.200000,0.750000,0.750000,0.857143,0.857143,0.800000,0.607143,0.785714,"[[6,1],
 [2,6]]","[6, 1, 2, 6]","(2, 2)",6
2,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.068362,97.351783,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.857143,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",1
3,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.069877,90.816027,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.897959,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",4
4,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.002020,103.092890,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,1.000000,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",4
5,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.071898,137.805068,0.857143,0.142857,0.714286,0.714286,1.000000,1.000000,0.833333,0.745356,0.897959,"[[7,0],
 [2,5]]","[7, 0, 2, 5]","(2, 2)",8
6,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.002525,121.205302,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,1.000000,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",5
7,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.003535,119.305985,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.979592,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",7
8,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.068867,86.530087,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.918367,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
9,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.071392,120.145937,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.877551,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",7
10,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.136724,90.582748,0.785714,0.214286,0.750000,0.750000,0.833333,0.857143,0.800000,0.577350,0.812500,"[[5,1],
 [2,6]]","[5, 1, 2, 6]","(2, 2)",2
