Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.002525,1.838323,0.933333,0.066667,0.875000,0.875000,1.000000,1.000000,0.933333,0.875000,0.937500,"[[7,0],
 [1,7]]","[7, 0, 1, 7]","(2, 2)",5
2,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.068867,1.531064,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.857143,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",2
3,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.002525,2.008249,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.785714,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",5
4,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.002525,1.947707,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",5
5,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.069877,1.744083,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.928571,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",4
6,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.002020,1.802335,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
7,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.001515,1.950247,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.928571,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
8,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.002020,1.882840,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.928571,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",4
9,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.069877,1.781697,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.928571,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",4
10,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.002020,1.888441,0.928571,0.071429,0.875000,0.875000,1.000000,1.000000,0.933333,0.866025,0.937500,"[[6,0],
 [1,7]]","[6, 0, 1, 7]","(2, 2)",4
