Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001515,90.617521,0.800000,0.200000,0.625000,0.625000,1.000000,1.000000,0.769231,0.661438,0.991071,"[[7,0],
 [3,5]]","[7, 0, 3, 5]","(2, 2)",3
2,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001010,78.859558,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,1.000000,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",2
3,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001010,82.008729,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,1.000000,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
4,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001010,82.369343,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,1.000000,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
5,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.137229,80.226662,0.714286,0.285714,0.714286,0.714286,0.714286,0.714286,0.714286,0.428571,0.775510,"[[5,2],
 [2,5]]","[5, 2, 2, 5]","(2, 2)",3
6,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.069372,88.676340,0.857143,0.142857,0.714286,0.714286,1.000000,1.000000,0.833333,0.745356,0.948980,"[[7,0],
 [2,5]]","[7, 0, 2, 5]","(2, 2)",3
7,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.068867,85.007849,0.857143,0.142857,0.714286,0.714286,1.000000,1.000000,0.833333,0.745356,0.918367,"[[7,0],
 [2,5]]","[7, 0, 2, 5]","(2, 2)",2
8,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.069877,90.770329,0.857143,0.142857,1.000000,1.000000,0.714286,0.777778,0.875000,0.745356,0.877551,"[[5,2],
 [0,7]]","[5, 2, 0, 7]","(2, 2)",4
9,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001010,85.901712,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,1.000000,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
10,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.069372,81.929242,0.857143,0.142857,1.000000,1.000000,0.666667,0.800000,0.888889,0.730297,0.875000,"[[4,2],
 [0,8]]","[4, 2, 0, 8]","(2, 2)",3
