Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001515,17.966442,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,8]]","[7, 0, 0, 8]","(2, 2)",3
2,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.069372,16.485711,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,1.000000,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
3,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.069372,15.150466,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.897959,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
4,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.002020,16.753696,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
5,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.002020,18.313978,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
6,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.002020,19.817861,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
7,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001515,18.613660,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
8,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001010,14.435130,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",2
9,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.069372,16.158751,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.938776,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",3
10,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.069372,17.457115,0.928571,0.071429,1.000000,1.000000,0.833333,0.888889,0.941176,0.860663,0.895833,"[[5,1],
 [0,8]]","[5, 1, 0, 8]","(2, 2)",3
