Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.065354,1.847232,0.933333,0.066667,0.875000,0.875000,1.000000,1.000000,0.933333,0.875000,0.892857,"[[7,0],
 [1,7]]","[7, 0, 1, 7]","(2, 2)",4
2,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.002020,1.843890,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
3,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.136724,1.685082,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.928571,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",2
4,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.001515,1.744514,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
5,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.001515,1.569454,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
6,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.001515,1.790764,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
7,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.068362,1.547224,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.959184,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",1
8,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.070382,1.626411,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.857143,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",5
9,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.205592,1.889682,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.714286,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",4
10,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.069372,1.483841,0.928571,0.071429,1.000000,1.000000,0.833333,0.888889,0.941176,0.860663,0.958333,"[[5,1],
 [0,8]]","[5, 1, 0, 8]","(2, 2)",3
