Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001010,16.699692,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,8]]","[7, 0, 0, 8]","(2, 2)",2
2,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.074423,22.301397,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.857143,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",13
3,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.002525,19.451189,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",5
4,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.136724,19.263775,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.816327,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",2
5,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001515,19.327143,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
6,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.003030,21.534545,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",6
7,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001010,19.497306,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",2
8,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001010,20.891718,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",2
9,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.003030,22.115130,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",6
10,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.069372,19.098036,0.928571,0.071429,0.875000,0.875000,1.000000,1.000000,0.933333,0.866025,0.937500,"[[6,0],
 [1,7]]","[6, 0, 1, 7]","(2, 2)",3
1,bRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.064343,13.981699,0.933333,0.066667,1.000000,1.000000,0.857143,0.888889,0.941176,0.872872,0.857143,"[[6,1],
 [0,8]]","[6, 1, 0, 8]","(2, 2)",2
