Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001515,82.875483,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,8]]","[7, 0, 0, 8]","(2, 2)",3
2,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001515,84.100681,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.959184,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",3
3,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.068867,78.906152,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.938776,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",2
4,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.068867,85.696211,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.959184,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
5,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.069372,82.513025,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.877551,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",3
6,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001515,85.929982,0.857143,0.142857,0.714286,0.714286,1.000000,1.000000,0.833333,0.745356,1.000000,"[[7,0],
 [2,5]]","[7, 0, 2, 5]","(2, 2)",3
7,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001010,84.348569,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.979592,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
8,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.068867,81.437290,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.908163,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",2
9,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.068362,69.290238,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.938776,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",1
10,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.136219,70.138622,0.785714,0.214286,0.875000,0.875000,0.666667,0.777778,0.823529,0.559431,0.770833,"[[4,2],
 [1,7]]","[4, 2, 1, 7]","(2, 2)",1
