Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.085556,1.936095,0.933333,0.066667,1.000000,1.000000,0.857143,0.888889,0.941176,0.872872,0.964286,"[[6,1],
 [0,8]]","[6, 1, 0, 8]","(2, 2)",44
2,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.090079,1.939183,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.897959,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",44
3,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.089069,1.929828,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.989796,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",42
4,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.160462,1.927488,0.857143,0.142857,0.714286,0.714286,1.000000,1.000000,0.833333,0.745356,0.928571,"[[7,0],
 [2,5]]","[7, 0, 2, 5]","(2, 2)",49
5,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.159957,1.931628,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.785714,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",48
6,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.296176,1.907845,0.714286,0.285714,0.857143,0.857143,0.571429,0.666667,0.750000,0.447214,0.683673,"[[4,3],
 [1,6]]","[4, 3, 1, 6]","(2, 2)",49
7,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.229329,1.942020,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.857143,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",51
8,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.157431,1.928319,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.857143,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",43
9,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.228824,1.986570,0.785714,0.214286,1.000000,1.000000,0.571429,0.700000,0.823529,0.632456,0.673469,"[[4,3],
 [0,7]]","[4, 3, 0, 7]","(2, 2)",50
10,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.089069,1.959519,0.928571,0.071429,1.000000,1.000000,0.833333,0.888889,0.941176,0.860663,0.958333,"[[5,1],
 [0,8]]","[5, 1, 0, 8]","(2, 2)",42
