Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001515,14.450196,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,8]]","[7, 0, 0, 8]","(2, 2)",3
2,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.136724,13.526418,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.857143,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",2
3,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001010,14.924107,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",2
4,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.070382,15.091947,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.897959,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",5
5,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001515,16.247120,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
6,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.069877,15.938575,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.918367,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",4
7,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001010,15.288556,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",2
8,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001515,15.212892,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
9,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.004545,19.355327,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",9
10,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.069372,14.743773,0.928571,0.071429,0.875000,0.875000,1.000000,1.000000,0.933333,0.866025,0.937500,"[[6,0],
 [1,7]]","[6, 0, 1, 7]","(2, 2)",3
