Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.064848,89.506499,0.933333,0.066667,0.875000,0.875000,1.000000,1.000000,0.933333,0.875000,0.910714,"[[7,0],
 [1,7]]","[7, 0, 1, 7]","(2, 2)",3
2,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001515,88.902132,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,1.000000,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
3,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.002020,85.292572,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
4,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.068362,78.846662,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.908163,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",1
5,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001515,90.605626,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.979592,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
6,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001010,82.995998,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,1.000000,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",2
7,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001515,86.771141,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,1.000000,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",3
8,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.136219,68.520572,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.785714,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",1
9,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001010,85.290239,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,1.000000,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
10,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001010,79.554868,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[6,0],
 [0,8]]","[6, 0, 0, 8]","(2, 2)",2
