Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.191515,1.607475,0.800000,0.200000,0.875000,0.875000,0.714286,0.777778,0.823529,0.600099,0.750000,"[[5,2],
 [1,7]]","[5, 2, 1, 7]","(2, 2)",3
2,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.068362,1.487852,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.918367,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",1
3,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.068867,1.439057,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.959184,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
4,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.069372,1.449460,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.897959,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
5,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.204582,1.518308,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.816327,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",2
6,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.001010,1.472642,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",2
7,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.136219,1.548223,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.734694,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",1
8,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.068362,1.347387,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.979592,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",1
9,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.138745,1.581462,0.857143,0.142857,1.000000,1.000000,0.714286,0.777778,0.875000,0.745356,0.816327,"[[5,2],
 [0,7]]","[5, 2, 0, 7]","(2, 2)",6
10,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.137229,1.403069,0.857143,0.142857,0.875000,0.875000,0.833333,0.875000,0.875000,0.708333,0.875000,"[[5,1],
 [1,7]]","[5, 1, 1, 7]","(2, 2)",3
