Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000039,0.666667,0.333333,0.625000,0.625000,0.714286,0.714286,0.666667,0.339286,0.696429,"[[5,2],
 [3,5]]","[5, 2, 3, 5]","(2, 2)",99
2,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000059,0.642857,0.357143,0.714286,0.714286,0.571429,0.625000,0.666667,0.288675,0.775510,"[[4,3],
 [2,5]]","[4, 3, 2, 5]","(2, 2)",99
3,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000056,0.714286,0.285714,0.571429,0.571429,0.857143,0.800000,0.666667,0.447214,0.734694,"[[6,1],
 [3,4]]","[6, 1, 3, 4]","(2, 2)",99
4,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000031,0.785714,0.214286,0.571429,0.571429,1.000000,1.000000,0.727273,0.632456,0.938776,"[[7,0],
 [3,4]]","[7, 0, 3, 4]","(2, 2)",99
5,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000030,0.714286,0.285714,1.000000,1.000000,0.428571,0.636364,0.777778,0.522233,0.877551,"[[3,4],
 [0,7]]","[3, 4, 0, 7]","(2, 2)",99
6,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000063,0.785714,0.214286,0.857143,0.857143,0.714286,0.750000,0.800000,0.577350,0.795918,"[[5,2],
 [1,6]]","[5, 2, 1, 6]","(2, 2)",99
7,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000027,0.571429,0.428571,0.428571,0.428571,0.714286,0.600000,0.500000,0.149071,0.714286,"[[5,2],
 [4,3]]","[5, 2, 4, 3]","(2, 2)",99
8,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000081,0.714286,0.285714,0.714286,0.714286,0.714286,0.714286,0.714286,0.428571,0.755102,"[[5,2],
 [2,5]]","[5, 2, 2, 5]","(2, 2)",99
9,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000030,0.857143,0.142857,1.000000,1.000000,0.714286,0.777778,0.875000,0.745356,0.897959,"[[5,2],
 [0,7]]","[5, 2, 0, 7]","(2, 2)",99
10,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000028,0.785714,0.214286,0.875000,0.875000,0.666667,0.777778,0.823529,0.559431,0.812500,"[[4,2],
 [1,7]]","[4, 2, 1, 7]","(2, 2)",99
