Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000030,0.666667,0.333333,0.375000,0.375000,1.000000,1.000000,0.545455,0.467707,0.678571,"[[7,0],
 [5,3]]","[7, 0, 5, 3]","(2, 2)",99
2,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000032,0.714286,0.285714,0.857143,0.857143,0.571429,0.666667,0.750000,0.447214,0.816327,"[[4,3],
 [1,6]]","[4, 3, 1, 6]","(2, 2)",99
3,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000057,0.714286,0.285714,0.571429,0.571429,0.857143,0.800000,0.666667,0.447214,0.857143,"[[6,1],
 [3,4]]","[6, 1, 3, 4]","(2, 2)",99
4,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000059,0.642857,0.357143,1.000000,1.000000,0.285714,0.583333,0.736842,0.408248,0.775510,"[[2,5],
 [0,7]]","[2, 5, 0, 7]","(2, 2)",99
5,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000039,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.959184,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",99
6,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000028,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,1.000000,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",99
7,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000030,0.714286,0.285714,0.571429,0.571429,0.857143,0.800000,0.666667,0.447214,0.775510,"[[6,1],
 [3,4]]","[6, 1, 3, 4]","(2, 2)",99
8,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000054,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.857143,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",99
9,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000036,0.714286,0.285714,0.714286,0.714286,0.714286,0.714286,0.714286,0.428571,0.693878,"[[5,2],
 [2,5]]","[5, 2, 2, 5]","(2, 2)",99
10,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000029,0.642857,0.357143,0.750000,0.750000,0.500000,0.666667,0.705882,0.258199,0.791667,"[[3,3],
 [2,6]]","[3, 3, 2, 6]","(2, 2)",99
