Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.212727,1.941809,0.800000,0.200000,0.875000,0.875000,0.714286,0.777778,0.823529,0.600099,0.741071,"[[5,2],
 [1,7]]","[5, 2, 1, 7]","(2, 2)",45
2,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.157431,1.949785,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.908163,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",43
3,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.091089,1.982495,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.877551,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",46
4,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.156421,1.910008,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.846939,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",41
5,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.297186,1.929036,0.714286,0.285714,0.714286,0.714286,0.714286,0.714286,0.714286,0.428571,0.673469,"[[5,2],
 [2,5]]","[5, 2, 2, 5]","(2, 2)",51
6,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.090584,1.914221,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.928571,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",45
7,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.290115,1.957155,0.714286,0.285714,0.571429,0.571429,0.857143,0.800000,0.666667,0.447214,0.785714,"[[6,1],
 [3,4]]","[6, 1, 3, 4]","(2, 2)",37
8,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.166522,1.910228,0.857143,0.142857,1.000000,1.000000,0.714286,0.777778,0.875000,0.745356,0.755102,"[[5,2],
 [0,7]]","[5, 2, 0, 7]","(2, 2)",61
9,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.227814,1.991860,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.785714,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",48
10,bLRRIME-KNN,knn,PulmonaryHypertension,s1,0.090584,1.980009,0.928571,0.071429,0.875000,0.875000,1.000000,1.000000,0.933333,0.866025,0.947917,"[[6,0],
 [1,7]]","[6, 0, 1, 7]","(2, 2)",45
