Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000061,0.800000,0.200000,0.875000,0.875000,0.714286,0.777778,0.823529,0.600099,0.857143,"[[5,2],
 [1,7]]","[5, 2, 1, 7]","(2, 2)",99
2,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000034,0.642857,0.357143,0.857143,0.857143,0.428571,0.600000,0.705882,0.316228,0.836735,"[[3,4],
 [1,6]]","[3, 4, 1, 6]","(2, 2)",99
3,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000033,0.500000,0.500000,0.571429,0.571429,0.428571,0.500000,0.533333,0.000000,0.653061,"[[3,4],
 [3,4]]","[3, 4, 3, 4]","(2, 2)",99
4,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000082,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.918367,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",99
5,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000043,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.959184,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",99
6,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000030,0.642857,0.357143,0.571429,0.571429,0.714286,0.666667,0.615385,0.288675,0.755102,"[[5,2],
 [3,4]]","[5, 2, 3, 4]","(2, 2)",99
7,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000036,0.785714,0.214286,0.857143,0.857143,0.714286,0.750000,0.800000,0.577350,0.775510,"[[5,2],
 [1,6]]","[5, 2, 1, 6]","(2, 2)",99
8,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000031,0.642857,0.357143,0.571429,0.571429,0.714286,0.666667,0.615385,0.288675,0.571429,"[[5,2],
 [3,4]]","[5, 2, 3, 4]","(2, 2)",99
9,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000037,0.571429,0.428571,0.428571,0.428571,0.714286,0.600000,0.500000,0.149071,0.673469,"[[5,2],
 [4,3]]","[5, 2, 4, 3]","(2, 2)",99
10,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000031,0.571429,0.428571,0.375000,0.375000,0.833333,0.750000,0.500000,0.228218,0.604167,"[[5,1],
 [5,3]]","[5, 1, 5, 3]","(2, 2)",99
