Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.002020,91.941658,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,8]]","[7, 0, 0, 8]","(2, 2)",4
2,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.069372,74.666202,0.714286,0.285714,0.857143,0.857143,0.571429,0.666667,0.750000,0.447214,0.877551,"[[4,3],
 [1,6]]","[4, 3, 1, 6]","(2, 2)",3
3,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.003030,107.287395,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.979592,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",6
4,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.069372,95.983736,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.918367,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",3
5,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.213167,132.096724,0.785714,0.214286,0.571429,0.571429,1.000000,1.000000,0.727273,0.632456,0.795918,"[[7,0],
 [3,4]]","[7, 0, 3, 4]","(2, 2)",19
6,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.070382,109.482695,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.897959,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",5
7,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.005556,124.542027,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",11
8,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.070887,123.224433,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.897959,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",6
9,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.068867,85.955014,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.857143,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",2
10,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.137734,85.370805,0.857143,0.142857,0.875000,0.875000,0.833333,0.875000,0.875000,0.708333,0.812500,"[[5,1],
 [1,7]]","[5, 1, 1, 7]","(2, 2)",4
