Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-KNN,knn,PulmonaryHypertension,v4,0.191010,1.488909,0.800000,0.200000,0.875000,0.875000,0.714286,0.777778,0.823529,0.600099,0.723214,"[[5,2],
 [1,7]]","[5, 2, 1, 7]","(2, 2)",2
2,bLRRIME-KNN,knn,PulmonaryHypertension,v4,0.068867,1.460132,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.959184,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
3,bLRRIME-KNN,knn,PulmonaryHypertension,v4,0.002020,1.749160,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
4,bLRRIME-KNN,knn,PulmonaryHypertension,v4,0.068867,1.513373,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.908163,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",2
5,bLRRIME-KNN,knn,PulmonaryHypertension,v4,0.069372,1.573782,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.908163,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
6,bLRRIME-KNN,knn,PulmonaryHypertension,v4,0.001515,1.603448,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
7,bLRRIME-KNN,knn,PulmonaryHypertension,v4,0.136219,1.365420,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.918367,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",1
8,bLRRIME-KNN,knn,PulmonaryHypertension,v4,0.001010,1.578043,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",2
9,bLRRIME-KNN,knn,PulmonaryHypertension,v4,0.136219,1.357748,0.857143,0.142857,0.714286,0.714286,1.000000,1.000000,0.833333,0.745356,0.897959,"[[7,0],
 [2,5]]","[7, 0, 2, 5]","(2, 2)",1
10,bLRRIME-KNN,knn,PulmonaryHypertension,v4,0.069372,1.611943,0.928571,0.071429,1.000000,1.000000,0.833333,0.888889,0.941176,0.860663,0.958333,"[[5,1],
 [0,8]]","[5, 1, 0, 8]","(2, 2)",3
