Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.064848,1.601441,0.933333,0.066667,1.000000,1.000000,0.857143,0.888889,0.941176,0.872872,0.946429,"[[6,1],
 [0,8]]","[6, 1, 0, 8]","(2, 2)",3
2,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.068867,1.425667,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.959184,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
3,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.068362,1.323489,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.918367,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",1
4,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.136724,1.408980,0.857143,0.142857,0.714286,0.714286,1.000000,1.000000,0.833333,0.745356,0.877551,"[[7,0],
 [2,5]]","[7, 0, 2, 5]","(2, 2)",2
5,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.136724,1.463067,0.857143,0.142857,0.714286,0.714286,1.000000,1.000000,0.833333,0.745356,0.897959,"[[7,0],
 [2,5]]","[7, 0, 2, 5]","(2, 2)",2
6,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.204582,1.429534,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.795918,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",2
7,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.136724,1.451201,0.857143,0.142857,0.714286,0.714286,1.000000,1.000000,0.833333,0.745356,0.795918,"[[7,0],
 [2,5]]","[7, 0, 2, 5]","(2, 2)",2
8,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.137229,1.495730,0.857143,0.142857,0.714286,0.714286,1.000000,1.000000,0.833333,0.745356,0.836735,"[[7,0],
 [2,5]]","[7, 0, 2, 5]","(2, 2)",3
9,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.271934,1.441343,0.714286,0.285714,0.571429,0.571429,0.857143,0.800000,0.666667,0.447214,0.714286,"[[6,1],
 [3,4]]","[6, 1, 3, 4]","(2, 2)",1
10,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.069372,1.540450,0.928571,0.071429,1.000000,1.000000,0.833333,0.888889,0.941176,0.860663,0.854167,"[[5,1],
 [0,8]]","[5, 1, 0, 8]","(2, 2)",3
