Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.127677,1.542528,0.866667,0.133333,0.875000,0.875000,0.857143,0.875000,0.875000,0.732143,0.866071,"[[6,1],
 [1,7]]","[6, 1, 1, 7]","(2, 2)",2
2,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.069372,1.773052,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.918367,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",3
3,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.001010,1.599216,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",2
4,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.069372,1.665985,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.908163,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
5,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.069372,1.732334,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.897959,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
6,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.068867,1.686524,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.959184,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
7,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.068867,1.521452,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.938776,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",2
8,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.136724,1.664282,0.857143,0.142857,1.000000,1.000000,0.714286,0.777778,0.875000,0.745356,0.918367,"[[5,2],
 [0,7]]","[5, 2, 0, 7]","(2, 2)",2
9,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.069372,1.717590,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.959184,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",3
10,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.002525,1.920192,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[6,0],
 [0,8]]","[6, 0, 0, 8]","(2, 2)",5
