Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.064343,19.078752,0.933333,0.066667,0.875000,0.875000,1.000000,1.000000,0.933333,0.875000,0.964286,"[[7,0],
 [1,7]]","[7, 0, 1, 7]","(2, 2)",2
2,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001515,19.263077,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
3,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.002020,17.748137,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
4,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001515,17.340998,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
5,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001010,18.329211,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",2
6,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.002525,16.572725,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",5
7,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001010,15.731369,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",2
8,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.068867,16.960064,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.938776,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
9,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.069877,17.985400,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.857143,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",4
10,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001515,16.951431,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[6,0],
 [0,8]]","[6, 0, 0, 8]","(2, 2)",3
