Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.001515,1.907036,0.933333,0.066667,0.875000,0.875000,1.000000,1.000000,0.933333,0.875000,0.937500,"[[7,0],
 [1,7]]","[7, 0, 1, 7]","(2, 2)",3
2,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.069877,1.881608,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.857143,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",4
3,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.068362,1.346941,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.928571,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",1
4,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.001515,1.881399,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
5,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.002525,1.869624,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.857143,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",5
6,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.002020,1.701430,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
7,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.002020,1.758651,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
8,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.002525,2.127422,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",5
9,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.068867,1.840278,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.928571,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",2
10,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.069877,1.701306,0.857143,0.142857,0.875000,0.875000,0.833333,0.875000,0.875000,0.708333,0.854167,"[[5,1],
 [1,7]]","[5, 1, 1, 7]","(2, 2)",4
