Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.067374,113.452234,0.866667,0.133333,0.750000,0.750000,1.000000,1.000000,0.857143,0.763763,0.910714,"[[7,0],
 [2,6]]","[7, 0, 2, 6]","(2, 2)",8
2,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.001515,104.236453,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
3,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.004040,130.445804,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.918367,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",8
4,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.002525,126.366974,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.959184,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",5
5,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.002020,95.934031,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,1.000000,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",4
6,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.070382,101.661988,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.897959,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",5
7,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.068867,64.169068,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.857143,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",2
8,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.070887,111.898843,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.857143,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",6
9,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.069877,108.065614,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.979592,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",4
10,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.136219,96.869603,0.714286,0.285714,0.875000,0.875000,0.500000,0.700000,0.777778,0.410792,0.833333,"[[3,3],
 [1,7]]","[3, 3, 1, 7]","(2, 2)",1
