Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.127677,1.524718,0.866667,0.133333,1.000000,1.000000,0.714286,0.800000,0.888889,0.755929,0.892857,"[[5,2],
 [0,8]]","[5, 2, 0, 8]","(2, 2)",2
2,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.068867,1.516204,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.857143,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
3,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.001010,1.405792,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",2
4,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.069372,1.378475,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.877551,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
5,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.138745,1.534509,0.857143,0.142857,1.000000,1.000000,0.714286,0.777778,0.875000,0.745356,0.836735,"[[5,2],
 [0,7]]","[5, 2, 0, 7]","(2, 2)",6
6,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.136219,1.216580,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.857143,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",1
7,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.136219,1.305015,0.857143,0.142857,1.000000,1.000000,0.714286,0.777778,0.875000,0.745356,0.918367,"[[5,2],
 [0,7]]","[5, 2, 0, 7]","(2, 2)",1
8,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.001515,1.641107,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
9,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.137734,1.557432,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.897959,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",4
10,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.068362,1.468856,0.928571,0.071429,0.875000,0.875000,1.000000,1.000000,0.933333,0.866025,1.000000,"[[6,0],
 [1,7]]","[6, 0, 1, 7]","(2, 2)",1
