Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.002020,1.669539,0.933333,0.066667,0.875000,0.875000,1.000000,1.000000,0.933333,0.875000,0.937500,"[[7,0],
 [1,7]]","[7, 0, 1, 7]","(2, 2)",4
2,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.068867,1.770274,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.928571,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
3,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.002020,1.786829,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
4,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.010606,2.446383,0.714286,0.285714,0.714286,0.714286,0.714286,0.714286,0.714286,0.428571,0.714286,"[[5,2],
 [2,5]]","[5, 2, 2, 5]","(2, 2)",21
5,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.002020,1.958658,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
6,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.001010,1.705965,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",2
7,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.001515,1.685450,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.928571,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
8,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.069372,1.809325,0.857143,0.142857,1.000000,1.000000,0.714286,0.777778,0.875000,0.745356,0.857143,"[[5,2],
 [0,7]]","[5, 2, 0, 7]","(2, 2)",3
9,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.001010,1.675189,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",2
10,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.068867,1.809647,0.785714,0.214286,1.000000,1.000000,0.500000,0.727273,0.842105,0.603023,0.750000,"[[3,3],
 [0,8]]","[3, 3, 0, 8]","(2, 2)",2
